puuid,fullName,infoJson
_mst4_DltJk33TDuujzvrYCPc4XIOs9eVc2Iug22TRs6RvlkkjXhsSs4FuXoM-2ZprQByIjOSatrVw,Fadund#0001,"{""puuid"": ""_mst4_DltJk33TDuujzvrYCPc4XIOs9eVc2Iug22TRs6RvlkkjXhsSs4FuXoM-2ZprQByIjOSatrVw"", ""gameName"": ""Fadund"", ""tagLine"": ""0001""}"
_-MxiNFlqDvjqEiQmgjmpQ2XcGaFVZmM_mWxgdz-kcEpxsdyjhOL4mNkQtgw3fhr8Yk7odank1l7gg,mada#2187,"{""puuid"": ""_-MxiNFlqDvjqEiQmgjmpQ2XcGaFVZmM_mWxgdz-kcEpxsdyjhOL4mNkQtgw3fhr8Yk7odank1l7gg"", ""gameName"": ""mada"", ""tagLine"": ""2187""}"
ajiOjl5Y37OOwlcBGRZdsZGP4_SNEIsm_fGKRlWkn8aelWchN0pI54-x9XmcTTOZUFwAvkKeG5-SRw,Eyesus#00000,"{""puuid"": ""ajiOjl5Y37OOwlcBGRZdsZGP4_SNEIsm_fGKRlWkn8aelWchN0pI54-x9XmcTTOZUFwAvkKeG5-SRw"", ""gameName"": ""Eyesus"", ""tagLine"": ""00000""}"
0tXTay48yKtuvYUmUJpdZ2CrdhHa1Wf6yMhr6Q7mROxTMErZ-FOz8rxmkyG4jTm1juVpM1Gj7uOOyg,MickeyMouse#7338,"{""puuid"": ""0tXTay48yKtuvYUmUJpdZ2CrdhHa1Wf6yMhr6Q7mROxTMErZ-FOz8rxmkyG4jTm1juVpM1Gj7uOOyg"", ""gameName"": ""MickeyMouse"", ""tagLine"": ""7338""}"
8LEgNUKYPKVh0K-qufKc0gaSZ6R9H3ndQ_-aOvCuusPCs85jH7hwCgp5tWBEudxywUFL6cD4IasJkQ,yassinouuu#11111,"{""puuid"": ""8LEgNUKYPKVh0K-qufKc0gaSZ6R9H3ndQ_-aOvCuusPCs85jH7hwCgp5tWBEudxywUFL6cD4IasJkQ"", ""gameName"": ""yassinouuu"", ""tagLine"": ""11111""}"
plcSb2s-MwEOytSA_P4uAnh_kXplkIoy4LgpkJJaVX9iSlaIgmo4V73VH_lW6yhrWdgraAwDBo18Yw,drez#5555,"{""puuid"": ""plcSb2s-MwEOytSA_P4uAnh_kXplkIoy4LgpkJJaVX9iSlaIgmo4V73VH_lW6yhrWdgraAwDBo18Yw"", ""gameName"": ""drez"", ""tagLine"": ""5555""}"
-olgtkPkA9SyGm8HwNoSFQGpJEUBNJIMK6giRlvddSUBAK05V_DPU7_x5a1dX4qRyHSRqD3yP0McFQ,Gicu Groparu#00001,"{""puuid"": ""-olgtkPkA9SyGm8HwNoSFQGpJEUBNJIMK6giRlvddSUBAK05V_DPU7_x5a1dX4qRyHSRqD3yP0McFQ"", ""gameName"": ""Gicu Groparu"", ""tagLine"": ""00001""}"
RyYkJyEKLELUJcGM_cVhcNky_WMWzwx8I5h6pova2iirF5h_AL0YpuntnYFJS0PRn31ljwwvZ2WhhQ,avocaro#purrr,"{""puuid"": ""RyYkJyEKLELUJcGM_cVhcNky_WMWzwx8I5h6pova2iirF5h_AL0YpuntnYFJS0PRn31ljwwvZ2WhhQ"", ""gameName"": ""avocaro"", ""tagLine"": ""purrr""}"
9XlGE7e9K1wRLc51hADCbKq4eCbsbsW-CLlQA-vSzYg1brV5BqKQl8-ox0pWKZX8fRgwsmJZm1Ihjw,ALLBLUE#VODKA,"{""puuid"": ""9XlGE7e9K1wRLc51hADCbKq4eCbsbsW-CLlQA-vSzYg1brV5BqKQl8-ox0pWKZX8fRgwsmJZm1Ihjw"", ""gameName"": ""ALLBLUE"", ""tagLine"": ""VODKA""}"
CU4B3V_SjzPpTTDqJCvURBgJm0WyxJ2mBP9kp_Ldpq65nyxDpqIMN4HVkqawnYRCkmqBlUiOZAymLg,fnt#2989,"{""puuid"": ""CU4B3V_SjzPpTTDqJCvURBgJm0WyxJ2mBP9kp_Ldpq65nyxDpqIMN4HVkqawnYRCkmqBlUiOZAymLg"", ""gameName"": ""fnt"", ""tagLine"": ""2989""}"
eXD4U6SV1H-oYxlr6gnKWudyiFCj0RPb-azXGWQjReyxsYVnDh47GbeI4WUI2-dAY5o89K6eWSEbNg,Azguard#EUW,"{""puuid"": ""eXD4U6SV1H-oYxlr6gnKWudyiFCj0RPb-azXGWQjReyxsYVnDh47GbeI4WUI2-dAY5o89K6eWSEbNg"", ""gameName"": ""Azguard"", ""tagLine"": ""EUW""}"
RyvfxQZ4wjj9fZ4vG3VDSSz03Dzbs_9_ALnAtE_1nAR892pJaY9zGxOXp-X9Bx-5Uw5giBWcpxaHVQ,Jelle2395#gt4rs,"{""puuid"": ""RyvfxQZ4wjj9fZ4vG3VDSSz03Dzbs_9_ALnAtE_1nAR892pJaY9zGxOXp-X9Bx-5Uw5giBWcpxaHVQ"", ""gameName"": ""Jelle2395"", ""tagLine"": ""gt4rs""}"
37G_E8M6lenLuTF1O1_dVmRpBRY8Qlq3WWNwPhwRBSmp_C4fQ4-HBqFT3bx_6DKzZLGOnrWIRlTrqg,yayaoncrack#9300,"{""puuid"": ""37G_E8M6lenLuTF1O1_dVmRpBRY8Qlq3WWNwPhwRBSmp_C4fQ4-HBqFT3bx_6DKzZLGOnrWIRlTrqg"", ""gameName"": ""yayaoncrack"", ""tagLine"": ""9300""}"
3txFRDgOMQvCNdrUtUmDx_td1jguCivNjSqgXJ8o7R2_xf2p6ASr6op5kWSTOojuxXPB9gFt84BxCw,IgN#7258,"{""puuid"": ""3txFRDgOMQvCNdrUtUmDx_td1jguCivNjSqgXJ8o7R2_xf2p6ASr6op5kWSTOojuxXPB9gFt84BxCw"", ""gameName"": ""IgN"", ""tagLine"": ""7258""}"
st0jN4i3apwHf-lK28qq_RWnG7RCSwLjVrGLSNiT-2rFgrnCZ9qy7S5AqUHyFrpcCmyUL0pzoaAaVA,Im inconsistent#noob,"{""puuid"": ""st0jN4i3apwHf-lK28qq_RWnG7RCSwLjVrGLSNiT-2rFgrnCZ9qy7S5AqUHyFrpcCmyUL0pzoaAaVA"", ""gameName"": ""Im inconsistent"", ""tagLine"": ""noob""}"
isHM2jEVYOQjCWCo7nm9Ty1dNdndDmMZFiG8gVtPum8ltSz0oYxMgrQJNzE_-x2aam22KPycab1TTQ,Perséphone#8686,"{""puuid"": ""isHM2jEVYOQjCWCo7nm9Ty1dNdndDmMZFiG8gVtPum8ltSz0oYxMgrQJNzE_-x2aam22KPycab1TTQ"", ""gameName"": ""Pers\u00e9phone"", ""tagLine"": ""8686""}"
7Q0i4UMI6ZH7vxQjoUFM0s-h2zTMuXv2sXbF53VtGT_crIUgeHwmgJK2-ZJ8AwPCOcjcXVTo8NkHUw,Xxshidoryx#EUW,"{""puuid"": ""7Q0i4UMI6ZH7vxQjoUFM0s-h2zTMuXv2sXbF53VtGT_crIUgeHwmgJK2-ZJ8AwPCOcjcXVTo8NkHUw"", ""gameName"": ""Xxshidoryx"", ""tagLine"": ""EUW""}"
2vZJ4au0MuD8b6CXoSZlS2y9llg7HO2ZhIWrJN8iOa8wIevYJCr9egLkqA249DtEAhd8Yk8cU5Cg1Q,FallenDonut#EUW,"{""puuid"": ""2vZJ4au0MuD8b6CXoSZlS2y9llg7HO2ZhIWrJN8iOa8wIevYJCr9egLkqA249DtEAhd8Yk8cU5Cg1Q"", ""gameName"": ""FallenDonut"", ""tagLine"": ""EUW""}"
Hm0-K351bJ1xZpw7kJim67bqHCxN1hNnMi5yoBcPOrv61n_D7pE1bfjCLJ59ntXjHxBCZC0nxwbMSQ,DownOnDarwin#0460,"{""puuid"": ""Hm0-K351bJ1xZpw7kJim67bqHCxN1hNnMi5yoBcPOrv61n_D7pE1bfjCLJ59ntXjHxBCZC0nxwbMSQ"", ""gameName"": ""DownOnDarwin"", ""tagLine"": ""0460""}"
1sXthn_46q2TiEuyKHGw1Qb_tZTOd-hOXFN6Jvt2fPOj2sDyr6kunJVUqG8HrWxwOe8gCj-xXd9msQ,JEANIE#3828,"{""puuid"": ""1sXthn_46q2TiEuyKHGw1Qb_tZTOd-hOXFN6Jvt2fPOj2sDyr6kunJVUqG8HrWxwOe8gCj-xXd9msQ"", ""gameName"": ""JEANIE"", ""tagLine"": ""3828""}"
1SMWv5xEyOkVKlHJrrg088AfvZ1zTN5qFSsoyH7EFdOJBYfq4TVAKNc2xcSwFwIC_DgA2CQ2fkW9lg,Dragoninjape#3336,"{""puuid"": ""1SMWv5xEyOkVKlHJrrg088AfvZ1zTN5qFSsoyH7EFdOJBYfq4TVAKNc2xcSwFwIC_DgA2CQ2fkW9lg"", ""gameName"": ""Dragoninjape"", ""tagLine"": ""3336""}"
p-BoPzlKDxVQuPRLXRZ9mxrezY0yGVj_8PS9ybZCxFaZuInJFA7d_poQTqezY57JOzuUKJXVaJXNmw,Pirvat#EUW,"{""puuid"": ""p-BoPzlKDxVQuPRLXRZ9mxrezY0yGVj_8PS9ybZCxFaZuInJFA7d_poQTqezY57JOzuUKJXVaJXNmw"", ""gameName"": ""Pirvat"", ""tagLine"": ""EUW""}"
Gz3lMCGGQKAnKscezDjqliqxqp1SUCiw-ea4ThwVFs9RK2DaZwKBWLjTOa6XWPwg7YObWUwcM4nx4g,parrty maker#tnt,"{""puuid"": ""Gz3lMCGGQKAnKscezDjqliqxqp1SUCiw-ea4ThwVFs9RK2DaZwKBWLjTOa6XWPwg7YObWUwcM4nx4g"", ""gameName"": ""parrty maker"", ""tagLine"": ""tnt""}"
ptN7TgGNS0WfUW8p-wcJeihrJAUL_T1GaUlwiMe3Y20HMcnO06L9aPuW65fbA1At9jYIkPEcr1UxPA,LucKyy#TNT,"{""puuid"": ""ptN7TgGNS0WfUW8p-wcJeihrJAUL_T1GaUlwiMe3Y20HMcnO06L9aPuW65fbA1At9jYIkPEcr1UxPA"", ""gameName"": ""LucKyy"", ""tagLine"": ""TNT""}"
-rOTNrGtaeDnMhMi1NXCv16zfRjAfnnk_yqw6w4YUcPUCtAS3pxUmj2Xg9FfJhuSIo5lHsXkQefPww,小笼包#Mommy,"{""puuid"": ""-rOTNrGtaeDnMhMi1NXCv16zfRjAfnnk_yqw6w4YUcPUCtAS3pxUmj2Xg9FfJhuSIo5lHsXkQefPww"", ""gameName"": ""\u5c0f\u7b3c\u5305"", ""tagLine"": ""Mommy""}"
qKk5GyguaojyLLH0bFrPoC0Ftozh_VMr0wvaDXZJT2naEPJsf2q8K67TOKIOSQLZYfSgJtFHPgBV1A,Jelle2396#9318,"{""puuid"": ""qKk5GyguaojyLLH0bFrPoC0Ftozh_VMr0wvaDXZJT2naEPJsf2q8K67TOKIOSQLZYfSgJtFHPgBV1A"", ""gameName"": ""Jelle2396"", ""tagLine"": ""9318""}"
Ko3HRpBvVTgsi-1_69EYWhVyE2O1K_NliptuIQNUARDYqKFGJvteNthIiPyGItBmG3WqNVehQ9OWZw,VLXSU#91131,"{""puuid"": ""Ko3HRpBvVTgsi-1_69EYWhVyE2O1K_NliptuIQNUARDYqKFGJvteNthIiPyGItBmG3WqNVehQ9OWZw"", ""gameName"": ""VLXSU"", ""tagLine"": ""91131""}"
19D-XM04-BNSjayXxHlZo-I3wS5VY-ymTNoBfl8G3llaXi5LuGSH-8eL_CK9J09KNbtVnqfXqwAm8A,demenxia#rui,"{""puuid"": ""19D-XM04-BNSjayXxHlZo-I3wS5VY-ymTNoBfl8G3llaXi5LuGSH-8eL_CK9J09KNbtVnqfXqwAm8A"", ""gameName"": ""demenxia"", ""tagLine"": ""rui""}"
